unix_timestamp,tweet_text 
1415490422, big game tonight ! ohiostate bucks 
1415490426,kick is good. 25-24 osu with 14:15 left in the game gocougs 
1415490579,we're ready for the game!! buckeyes oh io http:\/\/t.co\/dhc125vvu9 
1415490598,amberm previews saturday's ohiostate at michiganstate game freepicks buckeyes spartans osuvsmsu http:\/\/t.co\/rjmjknkxv6 cfb 
1415490598,amberm previews saturday's ohiostate at michiganstate game freepicks buckeyes spartans osuvsmsu http:\/\/t.co\/oiss5cnjdn cfb 
1415490599,amberm previews saturday's ohiostate at michiganstate game freepicks buckeyes spartans osuvsmsu http:\/\/t.co\/u8okvvp8wn cfb 
1415490599,amberm previews saturday's ohiostate at michiganstate game freepicks buckeyes spartans osuvsmsu http:\/\/t.co\/ktorrelk95 cfb 
1415490599,amberm previews saturday's ohiostate at michiganstate game freepicks buckeyes spartans osuvsmsu http:\/\/t.co\/ppdtw5sfxm cfb 
1415490599,amberm previews saturday's ohiostate at michiganstate game freepicks buckeyes spartans osuvsmsu http:\/\/t.co\/yqpimymnh4 cfb 
1415490609, let's keep rolling buckeyes! gameday gobucks beatsparty http:\/\/t.co\/95ususixuu 
1415490635,guess you can say i'm ready for the game today. the ohio state university vs michigan state. buckeyes\u2026 http:\/\/t.co\/ccazybrb49 
1415490660,"\""@mekkadonmusic: rt if you're rooting for the buckeyes tonight!\"" fighton gobucks buckeyes buckeyenation" 
1415490663,@buckeyesgirl33 pretty sure ohiostate and danesanzenbacher were only ones ever flagged for that move. 
1415490671,let's hope jt barrett doesn't pull an andy dalton and throw passes to cheerleaders or whoever looks at him like thursday night. buckeyes 
1415490675,good luck gators buckeyes wildcats alabama and cavaliers 
1415490678,the buckeyes playin tonite 
1415490697," dotting the \""i\"" is a big deal for buckeyes fans. will ohiostate make a big statement today? countdowntozero http:\/\/t.co\/av\u2026" 
1415490702,who will win the game tonight the buckeyes or the spartans lets see how the game unfolds. 
1415490704, less than 2 hours away. who you got? rt for ohiostate fav for michiganstate b1g collegegameday http:\/\/t.co\/qna5mxlthj 
1415490729," \""@mekkadonmusic: rt if you're rooting for the buckeyes tonight!\"" fighton gobucks buckeyes buckeyenation" 
1415490730,fuck \u274cichigan gobucks ohiostate 
1415490745,@kleighb47 beautiful picture whatup gobucks buckeyes buckeyenation 
1415490746," \""@mekkadonmusic: rt if you're rooting for the buckeyes tonight!\"" fighton gobucks buckeyes buckeyenation" 
1415490746,nyt map: where college football means the most buckeyes 
1415490747,poor indiana buckeyes 
1415490748,let's hope jt barrett doesn't pull an andy dalton and throw passes to cheerleaders or whoever looks at him like thursday night. buckeyes 
1415490748,shout out to fellow buckeye chivers!!! buckeyes 
1415490748,texas a&amp;m vs auburn buckeyes 
1415490749,sec west!! buckeyes 
1415490750,asu vs. notre dame. buckeyes 
1415490750,need a good laugh? buckeyes 
1415490751,"going low on \""defensless\"" receivers should be a penalty buckeyes" 
1415490751,mike shannahan interested in meatchicken job buckeyes 
1415490752,hope damien harris went to kentucky game today buckeyes 
1415490752,ot- black backgrounds- air force ad?? buckeyes 
1415490753,darron lee buckeyes 
1415490753,matta to unveil team at exhibition sunday buckeyes 
1415490754,is tbdbitl in east lansing? buckeyes 
1415490754,forksup notre dame \/ arizona st (last post on 11\/08\/2014 at 2:54\u00a0pm\u00a0pst) buckeyes 
1415490755,michigan vs northwestern (last post on 11\/08\/2014 at 2:57\u00a0pm\u00a0pst) buckeyes 
