1432893563.56::On that Bullshit \ud83d\ude24\ud83d\udc85\ud83c\udfc0\n##seered \n##bullsnation \n##chicagobulls \n##chiraq \n##bullshit https:\/\/t.co\/zWOnevgNh5,,
1432894183.32::RT @DawnHillDesigns: RT @mlscompanystore: Check out NWT #Adidas Boy\u2019s Black #ChicagoBulls Short Sleeve #TShirt Size XL All Seasons http:\/\/t\u2026,,
1432894361.72::RT @NBATV: Per Elias, this will be only the 2nd time in NBA history that rookie head coaches have met in the Finals #NBAPlayoffs http:\/\/t.c\u2026,
1432894645.07::RT @kublue0101: \u30ab\u30ea\u30fc\u304c8\u672c\u306e3P\u3092\u3057\u305a\u3081\u300132\u5f97\u70b9\u203c\ufe0e\u203c\ufe0e\n\u30a6\u30a9\u30fc\u30ea\u30a2\u30fc\u30ba\u304c4-2\u3067Conf.\u30d5\u30a1\u30a4\u30ca\u30eb\u9032\u51fa\u3092\u6c7a\u3081\u307e\u3057\u305f\u203c\ufe0e\u203c\ufe0e\n\n\u8d85\u7d76\u30d6\u30b6\u30fc\u30d3\u30fc\u30bf\u30fc\u3082\u70b8\u88c2\u203c\ufe0e\u203c\ufe0e\u203c\ufe0e\n #NBAPlayoffs #SPLASH #MVP http:\/\/t.co\/he2KX4\u2026,,
1432894666.1::RT @kublue0101: \u30ab\u30ea\u30fc\u304c8\u672c\u306e3P\u3092\u3057\u305a\u3081\u300132\u5f97\u70b9\u203c\ufe0e\u203c\ufe0e\n\u30a6\u30a9\u30fc\u30ea\u30a2\u30fc\u30ba\u304c4-2\u3067Conf.\u30d5\u30a1\u30a4\u30ca\u30eb\u9032\u51fa\u3092\u6c7a\u3081\u307e\u3057\u305f\u203c\ufe0e\u203c\ufe0e\n\n\u8d85\u7d76\u30d6\u30b6\u30fc\u30d3\u30fc\u30bf\u30fc\u3082\u70b8\u88c2\u203c\ufe0e\u203c\ufe0e\u203c\ufe0e\n #NBAPlayoffs #SPLASH #MVP http:\/\/t.co\/he2KX4\u2026,,
1432894775.04::RT @kublue0101: \u30ab\u30ea\u30fc\u304c8\u672c\u306e3P\u3092\u3057\u305a\u3081\u300132\u5f97\u70b9\u203c\ufe0e\u203c\ufe0e\n\u30a6\u30a9\u30fc\u30ea\u30a2\u30fc\u30ba\u304c4-2\u3067Conf.\u30d5\u30a1\u30a4\u30ca\u30eb\u9032\u51fa\u3092\u6c7a\u3081\u307e\u3057\u305f\u203c\ufe0e\u203c\ufe0e\n\n\u8d85\u7d76\u30d6\u30b6\u30fc\u30d3\u30fc\u30bf\u30fc\u3082\u70b8\u88c2\u203c\ufe0e\u203c\ufe0e\u203c\ufe0e\n #NBAPlayoffs #SPLASH #MVP http:\/\/t.co\/he2KX4\u2026,,
1432894800.46::RT @RTNBA: #NBAPlayoffs FOLLOW TRAIN! \n1.) RETWEET THIS!\n\ud83c\udfc0\ud83c\udfc0\ud83c\udfc0\n2.) FOLLOW ALL RETWEETERS!\n\ud83c\udfc0\ud83c\udfc0\ud83c\udfc0\n3.) FOLLOW EVERYBODY BACK! \n\ud83c\udfc0\ud83c\udfc0\ud83c\udfc0\n #NBAFOLLOWTRAI\u2026,,
1432894865.07::Ptdrrr\n#Prediction\n#NBAFinals \n#NBAPlayoffs \n@KeyshiaCole http:\/\/t.co\/1XM3qLFqaw,,
1432894976.89::#d1lockermedia Tongue Out Like 23!!! #Dubnation #grind #hardwork #instahub #nbaplayoffs #playoffs #igers #amazing #\u2026 http:\/\/t.co\/u2OdF9G8Es,,
1432894977.16::RT @NBA_Spain: Lo mejor de las Finales de Conferencia de los #NBAPlayoffs en la nuestra #PhantomCam presentada por @BBVA\nhttps:\/\/t.co\/Efikz\u2026,,
1432895120.52::RT @warriors: #StrengthInNumbers \ud83d\udc50 RT @NBA: Property of the @warriors and #DubNation. #WCF #NBAPlayoffs http:\/\/t.co\/z3f6swPfcG,,
1432895139.9::RT @CrossOver_JL: Congratulations to the #Cavs on becoming the Eastern champions #NBAPlayoffs #NBA http:\/\/t.co\/nQyEM0eRFc,,
1432895140.06::Lol\ud83d\ude02 #NBAPlayoffs http:\/\/t.co\/j0BeCAe03i,,
