UNIX_Timestamp,Tweet_text
1415490422,RT @AustinManis63: Big game tonight ! #OhioState #bucks
1415490426,Kick is good. 25-24 #OSU with 14:15 left in the game #GoCougs
1415490579,We're ready for the game!! #Buckeyes #OH #IO http:\/\/t.co\/DHC125VVu9
1415490598,#AmberM previews Saturday's #OhioState at #MichiganState game #FreePicks #Buckeyes #Spartans #OSUvsMSU http:\/\/t.co\/rJmJknKxv6 #CFB
1415490598,#AmberM previews Saturday's #OhioState at #MichiganState game #FreePicks #Buckeyes #Spartans #OSUvsMSU http:\/\/t.co\/Oiss5cnJDN #CFB
1415490599,#AmberM previews Saturday's #OhioState at #MichiganState game #FreePicks #Buckeyes #Spartans #OSUvsMSU http:\/\/t.co\/U8oKvVp8wn #CFB
1415490599,#AmberM previews Saturday's #OhioState at #MichiganState game #FreePicks #Buckeyes #Spartans #OSUvsMSU http:\/\/t.co\/kToRrelK95 #CFB
1415490599,#AmberM previews Saturday's #OhioState at #MichiganState game #FreePicks #Buckeyes #Spartans #OSUvsMSU http:\/\/t.co\/PpDtw5sFxm #CFB
1415490599,#AmberM previews Saturday's #OhioState at #MichiganState game #FreePicks #Buckeyes #Spartans #OSUvsMSU http:\/\/t.co\/yqPimYMnH4 #CFB
1415490609,RT @mirrorlakejump: Let's keep rolling #Buckeyes! #GameDay #GoBucks #BeatSparty http:\/\/t.co\/95USUsIXUU
1415490635,Guess you can say I'm ready for the game today. The Ohio State University vs Michigan State. #buckeyes\u2026 http:\/\/t.co\/CcAZYbrb49
1415490660,"\""@MekkaDonMusic: RT if you're rooting for the Buckeyes tonight!\"" #FightOn #GoBucks #Buckeyes #BuckeyeNation"
1415490663,@BuckeyesGirl33 Pretty sure #OhioState and #DaneSanzenbacher were only ones ever flagged for that move.
1415490671,Let's hope JT barrett doesn't pull an Andy Dalton and throw passes to cheerleaders or whoever looks at him like Thursday night. #Buckeyes
1415490675,Good luck #Gators #Buckeyes #Wildcats #Alabama and #Cavaliers
